pop.id,dame_mf,sire_mf,Rep,Rack,Unique.ID,seeds_per_pot,Num_germ,4/24/2025,4/25/2025,4/26/2025,4/28/2025,4/29/2025,4/30/2025,5/1/2025,5/2/2025,5/5/2025,5/6/2025,5/7/2025,5/8/2025,5/9/2025,5/10/2025,5/12/2025,5/13/2025,Notes
WL2,1,NA,1,1,1824,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
WL2,1,NA,2,1,1825,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
WL2,1,NA,3,1,1826,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
WL2,1,NA,4,1,1827,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
WL2,1,NA,5,1,1828,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
WL2,1,NA,6,1,1829,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
WL2,1,NA,7,1,1830,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
WL2,1,NA,8,1,1831,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5/2 removed non-STTO seedlings
WL2,1,NA,9,1,1832,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5/1 non-STTO seedling 5/2 removed non-STTO seedling from previous day
WL2,1,NA,10,1,1833,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
WL2,2,NA,11,1,1834,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
WL2,2,NA,12,1,1835,3,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
WL2,2,NA,13,1,1836,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
WL2,2,NA,14,1,1837,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
WL2,2,NA,15,1,1838,3,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
WL2,2,NA,16,1,1839,3,5,0,0,1,2,0,1,0,0,0,1,0,0,0,0,0,0,4/30 4 seedlings 5/6 5 seedlings
WL2,2,NA,17,1,1840,3,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5/6 unsure if STTO 5/7 confirmed seedling from previoius day  is STTO
WL2,2,NA,18,1,1841,3,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
WL2,2,NA,19,1,1842,3,4,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,
WL2,2,NA,20,1,1843,3,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,
WL2,3,NA,21,1,1844,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
WL2,3,NA,22,1,1845,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
WL2,3,NA,23,1,1846,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
WL2,3,NA,24,1,1847,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
WL2,3,NA,25,1,1848,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
WL2,3,NA,26,1,1849,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
WL2,3,NA,27,1,1850,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
WL2,3,NA,28,1,1851,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
WL2,3,NA,29,1,1852,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
WL2,3,NA,30,1,1853,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
WL2,4,NA,31,1,1854,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
