bed,row,col,Unique.ID,bud.date,flower.date,fruit.date,last.FL.date,last:FR.date,death.date,survey.notes
C,1,A,buffer,,,,,,,
C,1,B,buffer,,,,,,,
C,2,A,buffer,,,,,,,
C,2,B,buffer,,,,,,,
C,3,A,buffer,,,,,,,
C,3,B,buffer,,,,,,,
C,4,A,2566,,,,,,6/17/25,
C,4,B,2595,,,,,,7/3/25,
C,5,A,2642,,,,,,6/17/25,
C,5,B,buffer,,,,,,,
C,6,A,2509,,,,,,6/9/25,
C,6,B,2549,,,,,,5/14/26,
C,7,A,2452,,,,,,6/9/25,
C,7,B,2095,,,,,,,
C,8,A,2291,,,,,,,
C,8,B,2252,,,,,,3/14/26,
C,9,A,NA,,,,,,,
C,9,B,2634,,,,,,5/14/26,
C,10,A,2466,,,,,,6/9/25,
C,10,B,2302,,,,,,10/20/25,
C,11,A,2338,,,,,,6/9/25,
C,11,B,2605,,,,,,5/14/26,
C,12,A,2326,,,,,,5/14/26,
C,12,B,1819,,,,,,5/14/26,
C,13,A,2520,,,,,,6/9/25,
C,13,B,2591,,,,,,5/14/26,
C,14,A,2150,,,,,,6/27/25,
C,14,B,1915,,,,,,8/7/25,
C,15,A,2472,,,,,,5/14/26,
C,15,B,1981,,,,,,5/14/26,
C,16,A,2023,,,,,,7/3/25,
C,16,B,1908,,,,,,7/18/25,
C,17,A,1787,,,,,,8/7/25,
C,17,B,2274,,,,,,7/3/25,
C,18,A,2090,,,,,,7/18/25,
C,18,B,1883,,,,,,5/14/26,
C,19,A,2063,,,,,,5/14/26,
C,19,B,2236,,,,,,5/14/26,
C,20,A,2592,,,,,,10/20/25,
C,20,B,2213,,,,,,5/14/26,
C,21,A,2370,,,,,,10/20/25,
C,21,B,698,,,,,,8/28/25,
C,22,A,2638,,,,,,5/14/26,
C,22,B,buffer,,,,,,,
C,23,A,2489,,,,,,5/14/26,
C,23,B,2564,,,,,,5/14/26,
C,24,A,buffer,,,,,,,
C,24,B,118,,,,,,8/28/25,
C,25,A,2505,,,,,,5/14/26,
C,25,B,1459,,,,,,9/11/25,
C,26,A,2602,,,,,,5/14/26,
C,26,B,2284,,,,,,10/20/25,
C,27,A,2323,,,,,,5/14/26,
C,27,B,buffer,,,,,,,
C,28,A,2478,,,,,,9/24/25,
C,28,B,2557,,,,,,5/14/26,
C,29,A,1780,,,,,,8/21/25,
C,29,B,2454,,,,,,6/9/25,
C,30,A,NA,,,,,,,
C,30,B,341,,,,,,9/18/25,
C,31,A,1228,,,,,,9/4/25,
C,31,B,2442,,,,,,,
C,32,A,939,,,,,,6/9/25,
C,32,B,1700,,,,,,5/14/26,
C,33,A,2523,,,,,,,
C,33,B,183,,,,,,5/14/26,
C,34,A,1745,5/14/26,,,,,,
C,34,B,2467,,,,,,6/27/25,
C,35,A,2396,,,,,,08/01/25,
C,35,B,2427,,,,,,7/18/25,
C,36,A,1905,,,,,,6/27/25,
C,36,B,buffer,,,,,,,
C,37,A,2381,,,,,,6/17/25,
C,37,B,1289,,,,,,9/29/25,
C,38,A,2009,,,,,,5/14/26,
C,38,B,2230,,,,,,5/14/26,
C,39,A,2487,,,,,,5/14/26,
C,39,B,1866,,,,,,5/14/26,
C,40,A,2069,,,,,,5/14/26,
C,40,B,2621,,,,,,7/10/25,
C,41,A,2493,,,,,,5/14/26,
