stratification.date,pots to - plant,total_seeds to_plant -,seeds_per _pot,pop.id,Rep,Rack #,maternal family,Notes
2025-03-27,21,63,3,BH,1,8,3,
2025-03-27,21,63,3,BH,2,8,3,
2025-03-27,21,63,3,BH,3,8,3,
2025-03-27,21,63,3,BH,4,8,3,
2025-03-27,21,63,3,BH,5,8,3,
2025-03-27,21,63,3,BH,6,8,3,
2025-03-27,21,63,3,BH,7,8,3,
2025-03-27,21,63,3,BH,8,8,2,
2025-03-27,21,63,3,BH,9,8,2,
2025-03-27,21,63,3,BH,10,8,2,
2025-03-27,21,63,3,BH,11,8,2,
2025-03-27,21,63,3,BH,12,8,2,
2025-03-27,21,63,3,BH,13,8,2,
2025-03-27,21,63,3,BH,14,8,2,
2025-03-27,21,63,3,BH,15,8,1,
2025-03-27,21,63,3,BH,16,8,1,
2025-03-27,21,63,3,BH,17,8,1,
2025-03-27,21,63,3,BH,18,8,1,
2025-03-27,21,63,3,BH,19,8,1,
2025-03-27,21,63,3,BH,20,8,1,
2025-03-27,21,63,3,BH,21,8,1,
2025-03-27,21,63,3,CC,1,8,1,
2025-03-27,21,63,3,CC,2,8,1,
2025-03-27,21,63,3,CC,3,8,1,
2025-03-27,21,63,3,CC,4,8,1,
2025-03-27,21,63,3,CC,5,8,1,
2025-03-27,21,63,3,CC,6,8,1,
2025-03-27,21,63,3,CC,7,8,1,
2025-03-27,21,63,3,CC,8,8,2,
2025-03-27,21,63,3,CC,9,8,2,
2025-03-27,21,63,3,CC,10,8,2,
2025-03-27,21,63,3,CC,11,8,2,
2025-03-27,21,63,3,CC,12,8,2,
2025-03-27,21,63,3,CC,13,8,2,
2025-03-27,21,63,3,CC,14,8,2,
2025-03-27,21,63,3,CC,15,8,3,
2025-03-27,21,63,3,CC,16,8,3,
2025-03-27,21,63,3,CC,17,8,3,
2025-03-27,21,63,3,CC,18,8,3,
2025-03-27,21,63,3,CC,19,8,3,
2025-03-27,21,63,3,CC,20,8,3,
2025-03-27,21,63,3,CC,21,8,3,
2025-03-27,21,63,3,DPR,1,8,11,
2025-03-27,21,63,3,DPR,2,8,11,
2025-03-27,21,63,3,DPR,3,8,11,
2025-03-27,21,63,3,DPR,4,8,11,
2025-03-27,21,63,3,DPR,5,8,11,
2025-03-27,21,63,3,DPR,6,8,11,
2025-03-27,21,63,3,DPR,7,8,11,
2025-03-27,21,63,3,DPR,8,8,18,
2025-03-27,21,63,3,DPR,9,8,18,
2025-03-27,21,63,3,DPR,10,8,18,
2025-03-27,21,63,3,DPR,11,8,18,
2025-03-27,21,63,3,DPR,12,8,18,
2025-03-27,21,63,3,DPR,13,8,18,
2025-03-27,21,63,3,DPR,14,8,18,
2025-03-27,21,63,3,DPR,15,8,20,
2025-03-27,21,63,3,DPR,16,8,20,
2025-03-27,21,63,3,DPR,17,8,20,
2025-03-27,21,63,3,DPR,18,8,20,
2025-03-27,21,63,3,DPR,19,8,20,
2025-03-27,21,63,3,DPR,20,8,20,
2025-03-27,21,63,3,DPR,21,8,19,
2025-03-27,21,63,3,WV,1,8,18,
2025-03-27,21,63,3,WV,2,8,18,
2025-03-27,21,63,3,WV,3,8,18,
2025-03-27,21,63,3,WV,4,8,18,
2025-03-27,21,63,3,WV,5,8,18,
2025-03-27,21,63,3,WV,6,8,18,
2025-03-27,21,63,3,WV,7,8,18,
2025-03-27,21,63,3,WV,8,8,12,
2025-03-27,21,63,3,WV,9,8,12,
2025-03-27,21,63,3,WV,10,8,12,
