stratification.date ,pots_to plant ,total_seeds _to_plant ,seeds_per pot ,pop.id ,Rep ,Rack # ,dame_mf ,sire mf ,Notes ,
2/27/25,21,63,3,LV1 ,1,2,11,NA,,
2/27/25,21,63,3,LV1 ,2,2,11,NA,,
2/27/25,21,63,3,LV1 ,3,2,11,NA,,
2/27/25,21,63,3,LV1 ,4,2,11,NA,,
2/27/25,21,63,3,LV1 ,5,2,11,NA,,
2/27/25,21,63,3,LV1 ,6,2,11,NA,,
2/27/25,21,63,3,LV1 ,7,2,11,NA,,
2/27/25,21,63,3,LV1 ,8,2,11,NA,,
2/27/25,21,63,3,LV1 ,9,2,11,NA,,
2/27/25,21,63,3,LV1 ,10,2,11,NA,,
2/27/25,21,63,3,LV1 ,11,2,11,NA,,
2/27/25,21,63,3,LV1 ,12,2,22,NA,,
2/27/25,21,63,3,LV1 ,13,2,22,NA,,
2/27/25,21,63,3,LV1 ,14,2,22,NA,,
2/27/25,21,63,3,LV1 ,15,2,22,NA,,
2/27/25,21,63,3,LV1 ,16,2,22,NA,,
2/27/25,21,63,3,LV1 ,17,2,22,NA,,
2/27/25,21,63,3,LV1 ,18,2,22,NA,,
2/27/25,21,63,3,LV1 ,19,2,22,NA,,
2/27/25,21,63,3,LV1 ,20,2,22,NA,,
2/27/25,21,63,3,LV1 ,21,2,22,NA,,
2/27/25,21,63,3,SQ3 ,1,2,5,NA,,
2/27/25,21,63,3,SQ3 ,2,2,5,NA,,
2/27/25,21,63,3,SQ3 ,3,2,5,NA,,
2/27/25,21,63,3,SQ3 ,4,2,5,NA,,
2/27/25,21,63,3,SQ3 ,5,2,5,NA,,
2/27/25,21,63,3,SQ3 ,6,2,5,NA,,
2/27/25,21,63,3,SQ3 ,7,2,5,NA,,
2/27/25,21,63,3,SQ3 ,8,2,12,NA,,
2/27/25,21,63,3,SQ3 ,9,2,12,NA,,
2/27/25,21,63,3,SQ3 ,10,2,12,NA,,
2/27/25,21,63,3,SQ3 ,11,2,12,NA,,
2/27/25,21,63,3,SQ3 ,12,2,12,NA,,
2/27/25,21,63,3,SQ3 ,13,2,12,NA,,
2/27/25,21,63,3,SQ3 ,14,2,12,NA,,
2/27/25,21,63,3,SQ3 ,15,2,7,NA,,
2/27/25,21,63,3,SQ3 ,16,2,7,NA,,
2/27/25,21,63,3,SQ3 ,17,2,7,NA,,
2/27/25,21,63,3,SQ3 ,18,2,7,NA,,
2/27/25,21,63,3,SQ3 ,19,2,7,NA,,
2/27/25,21,63,3,SQ3 ,20,2,7,NA,,
2/27/25,21,63,3,SQ3 ,21,2,7,NA,,
2/27/25,21,63,3,WL1 ,1,2,8,NA,,
2/27/25,21,63,3,WL1 ,2,2,8,NA,,
2/27/25,21,63,3,WL1 ,3,2,8,NA,,
2/27/25,21,63,3,WL1 ,4,2,8,NA,,
2/27/25,21,63,3,WL1 ,5,2,8,NA,,
2/27/25,21,63,3,WL1 ,6,2,8,NA,,
2/27/25,21,63,3,WL1 ,7,2,8,NA,,
2/27/25,21,63,3,WL1 ,8,2,18,NA,,
2/27/25,21,63,3,WL1 ,9,2,18,NA,,
2/27/25,21,63,3,WL1 ,10,2,18,NA,,
2/27/25,21,63,3,WL1 ,11,2,18,NA,,
2/27/25,21,63,3,WL1 ,12,2,18,NA,,
2/27/25,21,63,3,WL1 ,13,2,18,NA,,
2/27/25,21,63,3,WL1 ,14,2,18,NA,,
2/27/25,21,63,3,WL1 ,15,2,13,NA,,
2/27/25,21,63,3,WL1 ,16,2,13,NA,,
2/27/25,21,63,3,WL1 ,17,2,13,NA,,
2/27/25,21,63,3,WL1 ,18,2,13,NA,,
2/27/25,21,63,3,WL1 ,19,2,13,NA,,
2/27/25,21,63,3,WL1 ,20,2,13,NA,,
2/27/25,21,63,3,WL1 ,21,2,13,NA,,
2/27/25,21,63,3,YO11 ,1,2,1,NA,,
2/27/25,21,63,3,YO11 ,2,2,1,NA,,
2/27/25,21,63,3,YO11 ,3,2,1,NA,,
2/27/25,21,63,3,YO11 ,4,2,1,NA,,
2/27/25,21,63,3,YO11 ,5,2,1,NA,,
2/27/25,21,63,3,YO11 ,6,2,1,NA,,
2/27/25,21,63,3,YO11 ,7,2,1,NA,,
2/27/25,21,63,3,YO11 ,8,2,4,NA,,
2/27/25,21,63,3,YO11 ,9,2,4,NA,,
2/27/25,21,63,3,YO11 ,10,2,4,NA,,
2/27/25,21,63,3,YO11 ,11,2,4,NA,,
2/27/25,21,63,3,YO11 ,12,2,4,NA,,
2/27/25,21,63,3,YO11 ,13,2,4,NA,,
2/27/25,21,63,3,YO11 ,14,2,4,NA,,
2/27/25,21,63,3,YO11 ,15,2,5,NA,,
2/27/25,21,63,3,YO11 ,16,2,5,NA,,
2/27/25,21,63,3,YO11 ,17,2,5,NA,,
2/27/25,21,63,3,YO11 ,18,2,5,NA,,
2/27/25,21,63,3,YO11 ,19,2,5,NA,,
2/27/25,21,63,3,YO11 ,20,2,5,NA,,
2/27/25,21,63,3,YO11 ,21,2,5,NA,,
2/27/25,98,294,3,WL2 ,1,1,1,,,
2/27/25,98,294,3,WL2 ,2,1,1,,,
2/27/25,98,294,3,WL2 ,3,1,1,,,
2/27/25,98,294,3,WL2 ,4,1,1,,,
2/27/25,98,294,3,WL2 ,5,1,1,,,
2/27/25,98,294,3,WL2 ,6,1,1,,,
