parent.pop,phylogroup,collection.year,maternal.families,approx.number.seeds,collection.priority.,on.climate.PCA.,JGI.DNA,notes
BH,4,2021,44,1000,NA,Y,NA,NA
CC,7,2018,18,500,NA,Y,NA,NA
CP2,2,2019,24,500,yes,Y,NA,NA
CP3,2,2018,15,200,yes,Y,NA,NA
DPR,5,2020,21,300,yes,Y,NA,NA
FR,7,2019,22,500,yes,Y,NA,seeds were not present when started parent pops in october 2021; seeds appeared in bin recently
IH,5,2021,41,1000,NA,Y,NA,NA
LV1,9,2018,34,1000,NA,Y,NA,NA
LV3,9,2020,11,500,yes,Y,NA,NA
LVTR1,9,2020,10,100,yes,Y,NA,NA
SC,4,2021,33,500,NA,Y,NA,NA
SQ1,3,2021,25,1000,NA,Y,NA,NA
SQ2,3,2021,20,1000,NA,Y,NA,NA
SQ3,3,2021,24,1000,NA,Y,NA,NA
TM2,6,2021,30,500,NA,Y,NA,NA
WL1,2,2020,22,500,yes,Y,NA,NA
WL2,2,2020,29,1000,NA,Y,NA,NA
WR,8,2016,4,200,yes,N,NA,NA
WV,8,2014,3,200,yes,Y,NA,original envelope?
YO11,1,2021,10,1000,NA,Y,NA,NA
YO4,1,2021,35,500,NA,Y,NA,NA
YO7,1,2020,24,500,NA,NA,NA,NA
YO8,1,2021,23,500,NA,Y,NA,NA
